sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-1,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,false,0,0,458,false,,,,"gateway anthropic/claude-haiku-4.5 402: {""error"":{""message"":""A positive credit balance is required for all requests, including BYOK, so fallback providers remain available. Add credits at https://vercel.com/d?to=%2F%5Bteam%5D%2F%7E%2Fai%3Fm"
scene-0,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,0,0,481,false,,,,"gateway anthropic/claude-haiku-4.5 402: {""error"":{""message"":""A positive credit balance is required for all requests, including BYOK, so fallback providers remain available. Add credits at https://vercel.com/d?to=%2F%5Bteam%5D%2F%7E%2Fai%3Fm"
scene-1,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,false,0,0,477,false,,,,"gateway anthropic/claude-haiku-4.5 402: {""error"":{""message"":""A positive credit balance is required for all requests, including BYOK, so fallback providers remain available. Add credits at https://vercel.com/d?to=%2F%5Bteam%5D%2F%7E%2Fai%3Fm"
scene-0,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,false,0,0,487,false,,,,"gateway anthropic/claude-haiku-4.5 402: {""error"":{""message"":""A positive credit balance is required for all requests, including BYOK, so fallback providers remain available. Add credits at https://vercel.com/d?to=%2F%5Bteam%5D%2F%7E%2Fai%3Fm"
scene-0,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,0,0,488,false,,,,"gateway anthropic/claude-haiku-4.5 402: {""error"":{""message"":""A positive credit balance is required for all requests, including BYOK, so fallback providers remain available. Add credits at https://vercel.com/d?to=%2F%5Bteam%5D%2F%7E%2Fai%3Fm"
scene-0,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,false,0,0,496,false,,,,"gateway anthropic/claude-haiku-4.5 402: {""error"":{""message"":""A positive credit balance is required for all requests, including BYOK, so fallback providers remain available. Add credits at https://vercel.com/d?to=%2F%5Bteam%5D%2F%7E%2Fai%3Fm"
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,0,0,497,false,,,,"gateway anthropic/claude-haiku-4.5 402: {""error"":{""message"":""A positive credit balance is required for all requests, including BYOK, so fallback providers remain available. Add credits at https://vercel.com/d?to=%2F%5Bteam%5D%2F%7E%2Fai%3Fm"
scene-1,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,false,0,0,500,false,,,,"gateway anthropic/claude-haiku-4.5 402: {""error"":{""message"":""A positive credit balance is required for all requests, including BYOK, so fallback providers remain available. Add credits at https://vercel.com/d?to=%2F%5Bteam%5D%2F%7E%2Fai%3Fm"
scene-0,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,0,0,508,false,,,,"gateway anthropic/claude-haiku-4.5 402: {""error"":{""message"":""A positive credit balance is required for all requests, including BYOK, so fallback providers remain available. Add credits at https://vercel.com/d?to=%2F%5Bteam%5D%2F%7E%2Fai%3Fm"
scene-1,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,0,0,518,false,,,,"gateway anthropic/claude-haiku-4.5 402: {""error"":{""message"":""A positive credit balance is required for all requests, including BYOK, so fallback providers remain available. Add credits at https://vercel.com/d?to=%2F%5Bteam%5D%2F%7E%2Fai%3Fm"
