sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-0,google/gemini-2.5-pro,image,onstreet,on-street,0,false,2082,517,8067,false,,,,
scene-0,google/gemini-2.5-pro,wkt,topology,path,0,true,9955,789,9016,false,,,,
scene-0,google/gemini-2.5-pro,wkt,nearest,nearest,0,true,9943,819,9170,false,,,,
scene-0,google/gemini-2.5-pro,image,nearest,nearest,0,false,2062,669,9699,true,A,,,
scene-0,google/gemini-2.5-pro,wkt,containment,containment,0,false,9950,985,9727,false,,,,
scene-0,google/gemini-2.5-pro,wkt,nearest_offstreet,mixed,0,false,9991,988,9780,false,,,,
scene-0,google/gemini-2.5-pro,wkt,road_misplacement,mixed,0,true,9980,987,9870,false,,,,
scene-0,google/gemini-2.5-pro,wkt,crossing,crossing,0,false,9953,989,9944,false,,,,
scene-0,google/gemini-2.5-pro,wkt,enclosure,mixed,0,false,9964,0,9955,false,,,,
scene-0,google/gemini-2.5-pro,image,containment,containment,0,false,2069,751,9959,true,0|1|2|3|4|5|6|7|8|9|10|11,,,
scene-0,google/gemini-2.5-pro,wkt,blockage,line-intersection,0,false,9969,996,9990,false,,,,
scene-0,google/gemini-2.5-pro,wkt,coverage_gap,coverage,0,true,9957,986,10001,false,,,,
scene-0,google/gemini-2.5-pro,wkt,onstreet,on-street,0,true,9963,986,11164,false,,,,
scene-0,google/gemini-2.5-pro,image,crossing,crossing,0,false,2072,0,11501,false,,,,
scene-0,google/gemini-2.5-pro,image,topology,path,0,false,2074,0,13379,false,,,,
scene-0,google/gemini-2.5-pro,image,coverage_gap,coverage,0,false,2076,0,13827,false,,,,
scene-0,google/gemini-2.5-pro,image,enclosure,mixed,0,false,2083,819,8813,true,A|B|C|D|J,,,
scene-1,google/gemini-2.5-pro,wkt,road_misplacement,mixed,0,false,14685,1000,8962,false,,,,
scene-1,google/gemini-2.5-pro,wkt,containment,containment,0,false,14655,986,9461,false,,,,
scene-1,google/gemini-2.5-pro,wkt,nearest,nearest,0,true,14648,990,9479,false,,,,
scene-1,google/gemini-2.5-pro,wkt,onstreet,on-street,0,false,14668,988,9645,false,,,,
scene-1,google/gemini-2.5-pro,wkt,coverage_gap,coverage,0,true,14662,986,9639,false,,,,
scene-1,google/gemini-2.5-pro,wkt,enclosure,mixed,0,false,14669,0,8701,false,,,,
scene-0,google/gemini-2.5-pro,image,nearest_offstreet,mixed,0,false,2110,988,10176,true,B,,,
scene-1,google/gemini-2.5-pro,wkt,crossing,crossing,0,false,14658,989,10128,false,,,,
scene-1,google/gemini-2.5-pro,wkt,blockage,line-intersection,0,false,14676,990,10145,false,,,,
scene-0,google/gemini-2.5-pro,image,blockage,line-intersection,0,false,2088,0,12394,false,,,,
scene-1,google/gemini-2.5-pro,wkt,topology,path,0,false,14660,1003,11104,false,,The network path from the closures to the CO is not described in the provided data.,,
scene-1,google/gemini-2.5-pro,wkt,nearest_offstreet,mixed,0,false,14696,993,9724,false,,,,
scene-0,google/gemini-2.5-pro,image,road_misplacement,mixed,0,false,2099,987,12311,false,,,,
scene-1,google/gemini-2.5-pro,image,containment,containment,0,false,2069,951,11424,true,0|1|2|3|4|5|6|7|8|9|10|11,,,
scene-1,google/gemini-2.5-pro,image,crossing,crossing,0,false,2072,980,11447,false,,,,
scene-1,google/gemini-2.5-pro,image,onstreet,on-street,0,false,2082,519,8202,false,,"I can't answer without knowing which of the marked points is ""CL-A"".",,
scene-1,google/gemini-2.5-pro,image,nearest,nearest,0,false,2062,689,9336,true,B,,,
scene-1,google/gemini-2.5-pro,image,enclosure,mixed,0,false,2083,667,8579,true,1|3|5,,,
scene-2,google/gemini-2.5-pro,wkt,containment,containment,0,true,12153,984,9818,false,,,,
scene-1,google/gemini-2.5-pro,image,nearest_offstreet,mixed,0,false,2110,830,9890,true,L,,,
scene-1,google/gemini-2.5-pro,image,road_misplacement,mixed,0,false,2099,984,10476,false,,,,
scene-1,google/gemini-2.5-pro,image,blockage,line-intersection,0,false,2090,815,10619,true,6|3|7|8,,,
scene-2,google/gemini-2.5-pro,wkt,nearest,nearest,0,true,12146,990,9426,false,,,,
scene-1,google/gemini-2.5-pro,image,coverage_gap,coverage,0,false,2076,0,11531,false,,,,
