sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-0,openai/gpt-5-mini,json,topology,path,0,true,7182,782,13541,false,,,,
scene-0,openai/gpt-5-mini,textmap2,containment,containment,0,true,5846,1030,16941,false,,,,
scene-0,openai/gpt-5-mini,textmap2,nearest,nearest,0,true,5839,1385,21910,false,,,,
scene-0,openai/gpt-5-mini,json,onstreet,on-street,0,false,7191,2056,30986,false,,,,
scene-0,openai/gpt-5-mini,json,nearest,nearest,0,true,7171,2059,31541,false,,,,
scene-0,openai/gpt-5-mini,json,coverage_gap,coverage,0,true,7184,2292,34183,false,,none,,
scene-0,openai/gpt-5-mini,json,crossing,crossing,0,true,7182,2358,35128,false,,,,
scene-0,openai/gpt-5-mini,textmap2,crossing,crossing,0,true,5850,3160,46125,false,,,,
scene-1,openai/gpt-5-mini,json,nearest,nearest,0,true,9798,1048,11019,false,,,,
scene-0,openai/gpt-5-mini,json,containment,containment,0,false,7178,3878,57261,false,,,,
scene-0,openai/gpt-5-mini,json,road_misplacement,mixed,0,false,7208,3900,57406,false,,,,
scene-1,openai/gpt-5-mini,json,containment,containment,0,false,9805,1690,26515,false,,,,
scene-0,openai/gpt-5-mini,json,nearest_offstreet,mixed,0,false,7219,4783,68690,false,,,,
scene-1,openai/gpt-5-mini,json,crossing,crossing,0,false,9809,2291,37597,false,,,,
scene-1,openai/gpt-5-mini,json,topology,path,0,true,9809,1321,20230,false,,,,
scene-1,openai/gpt-5-mini,json,onstreet,on-street,0,true,9818,3337,49527,true,B-0,,,
scene-1,openai/gpt-5-mini,textmap2,containment,containment,0,true,5793,1019,13601,false,,,,
scene-0,openai/gpt-5-mini,textmap2,enclosure,mixed,0,false,5861,4787,71750,false,,,,
scene-1,openai/gpt-5-mini,json,coverage_gap,coverage,0,true,9811,2880,40954,false,,,,
scene-0,openai/gpt-5-mini,json,blockage,line-intersection,0,false,7197,6841,101071,false,,,,
scene-0,openai/gpt-5-mini,textmap2,blockage,line-intersection,0,false,6774,5803,87581,false,,,,
scene-1,openai/gpt-5-mini,textmap2,onstreet,on-street,0,true,5806,923,15448,false,,,,
scene-1,openai/gpt-5-mini,textmap2,nearest,nearest,0,true,5786,965,15873,false,,,,
scene-1,openai/gpt-5-mini,json,road_misplacement,mixed,0,false,9835,4171,57168,false,,,,
scene-1,openai/gpt-5-mini,textmap2,coverage_gap,coverage,0,true,5799,1192,20234,false,,,,
scene-0,openai/gpt-5-mini,textmap2,nearest_offstreet,mixed,0,false,5887,6021,88082,false,,,,
scene-1,openai/gpt-5-mini,textmap2,road_misplacement,mixed,0,true,5823,1019,17823,false,,,,
scene-0,openai/gpt-5-mini,json,enclosure,mixed,0,true,7193,9673,140167,false,,,,
scene-1,openai/gpt-5-mini,json,nearest_offstreet,mixed,0,false,9846,6249,83676,false,,,,
scene-1,openai/gpt-5-mini,textmap2,nearest_offstreet,mixed,0,true,5834,2467,41501,false,,,,
