sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-0,claude-sonnet-4-6,json,nearest,nearest,0,true,8175,38,1640,false,,,,
scene-0,claude-sonnet-4-6,json,coverage_gap,coverage,0,true,8187,35,1713,false,,,,
scene-0,claude-sonnet-4-6,json,topology,path,0,true,8186,45,1770,false,,,,
scene-0,claude-sonnet-4-6,json,crossing,crossing,0,true,8185,35,1781,false,,,,
scene-0,claude-sonnet-4-6,textmap2,nearest,nearest,0,true,6719,38,1855,false,,,,
scene-0,claude-sonnet-4-6,json,road_misplacement,mixed,0,false,8215,35,1858,false,,,,
scene-0,claude-sonnet-4-6,json,enclosure,mixed,0,false,8197,44,1872,false,,,,
scene-0,claude-sonnet-4-6,json,containment,containment,0,false,8181,35,1944,false,,,,
scene-0,claude-sonnet-4-6,textmap2,onstreet,on-street,0,false,6739,35,1967,false,,,,
scene-0,claude-sonnet-4-6,textmap2,topology,path,0,true,6730,45,2049,false,,,,
scene-0,claude-sonnet-4-6,json,blockage,line-intersection,0,false,8201,49,2080,false,,,,
scene-0,claude-sonnet-4-6,textmap2,containment,containment,0,true,6725,94,2207,false,,,,
scene-0,claude-sonnet-4-6,json,nearest_offstreet,mixed,0,false,8226,62,2211,false,,Let me reason through this carefully before answering.,,
scene-0,claude-sonnet-4-6,textmap2,coverage_gap,coverage,0,true,6731,35,2329,false,,,,
scene-0,claude-sonnet-4-6,json,onstreet,on-street,0,false,8195,35,2727,false,,,,
scene-0,claude-sonnet-4-6,textmap2,road_misplacement,mixed,0,true,6759,40,1411,false,,,,
scene-1,claude-sonnet-4-6,json,onstreet,on-street,0,true,10829,35,1316,false,,,,
scene-1,claude-sonnet-4-6,json,coverage_gap,coverage,0,true,10821,35,1304,false,,,,
scene-1,claude-sonnet-4-6,json,nearest,nearest,0,true,10809,38,1332,false,,,,
scene-1,claude-sonnet-4-6,json,crossing,crossing,0,false,10819,35,1462,false,,,,
scene-0,claude-sonnet-4-6,textmap2,nearest_offstreet,mixed,0,false,6770,35,1578,false,,,,
scene-0,claude-sonnet-4-6,textmap2,enclosure,mixed,0,false,6741,54,1641,false,,,,
scene-1,claude-sonnet-4-6,json,blockage,line-intersection,0,false,10835,35,1392,false,,,,
scene-1,claude-sonnet-4-6,json,topology,path,0,true,10820,45,1557,false,,,,
scene-0,claude-sonnet-4-6,textmap2,blockage,line-intersection,0,false,6745,69,1969,false,,,,
scene-1,claude-sonnet-4-6,json,road_misplacement,mixed,0,false,10849,40,1662,false,,,,
scene-1,claude-sonnet-4-6,json,nearest_offstreet,mixed,0,false,10860,38,1601,false,,,,
scene-1,claude-sonnet-4-6,json,containment,containment,0,false,10815,40,2203,false,,,,
scene-1,claude-sonnet-4-6,textmap2,nearest,nearest,0,true,6657,38,1363,false,,,,
scene-1,claude-sonnet-4-6,textmap2,enclosure,mixed,0,false,6679,35,1291,false,,,,
scene-1,claude-sonnet-4-6,textmap2,containment,containment,0,true,6663,88,2073,false,,,,
scene-1,claude-sonnet-4-6,json,enclosure,mixed,0,false,10831,59,2831,false,,,,
scene-1,claude-sonnet-4-6,textmap2,crossing,crossing,0,false,6667,66,1921,false,,,,
scene-1,claude-sonnet-4-6,textmap2,nearest_offstreet,mixed,0,false,6708,38,1495,false,,,,
scene-1,claude-sonnet-4-6,textmap2,onstreet,on-street,0,true,6677,35,1929,false,,,,
scene-2,claude-sonnet-4-6,json,containment,containment,0,true,9461,35,1638,false,,,,
scene-1,claude-sonnet-4-6,textmap2,topology,path,0,true,6668,45,2072,false,,,,
scene-2,claude-sonnet-4-6,json,onstreet,on-street,0,false,9475,35,1486,false,,,,
scene-1,claude-sonnet-4-6,textmap2,coverage_gap,coverage,0,true,6669,35,2206,false,,,,
scene-1,claude-sonnet-4-6,textmap2,road_misplacement,mixed,0,true,6697,46,2099,false,,,,
scene-1,claude-sonnet-4-6,textmap2,blockage,line-intersection,0,false,6683,69,2192,false,,,,
scene-2,claude-sonnet-4-6,json,nearest,nearest,0,true,9455,38,1867,false,,,,
scene-2,claude-sonnet-4-6,json,crossing,crossing,0,false,9465,35,2166,false,,,,
scene-2,claude-sonnet-4-6,json,coverage_gap,coverage,0,false,9467,35,1465,false,,,,
scene-2,claude-sonnet-4-6,json,road_misplacement,mixed,0,false,9495,35,1357,false,,,,
scene-2,claude-sonnet-4-6,json,topology,path,0,true,9466,45,1654,false,,,,
scene-0,claude-sonnet-4-6,textmap2,crossing,crossing,0,false,6729,42,6659,false,,,,
scene-2,claude-sonnet-4-6,json,enclosure,mixed,0,false,9477,54,1769,false,,,,
scene-2,claude-sonnet-4-6,textmap2,containment,containment,0,true,6674,35,1929,false,,,,
scene-2,claude-sonnet-4-6,textmap2,coverage_gap,coverage,0,false,6680,35,1751,false,,,,
scene-2,claude-sonnet-4-6,textmap2,onstreet,on-street,0,true,6688,35,1884,false,,,,
scene-2,claude-sonnet-4-6,json,blockage,line-intersection,0,false,9481,39,2675,false,,,,
scene-2,claude-sonnet-4-6,textmap2,crossing,crossing,0,false,6678,55,2336,false,,,,
scene-2,claude-sonnet-4-6,textmap2,nearest,nearest,0,true,6668,38,2197,false,,,,
scene-2,claude-sonnet-4-6,textmap2,nearest_offstreet,mixed,0,true,6719,38,1589,false,,,,
scene-2,claude-sonnet-4-6,textmap2,road_misplacement,mixed,0,true,6708,40,1806,false,,,,
scene-3,claude-sonnet-4-6,json,containment,containment,0,false,9107,35,1368,false,,,,
scene-3,claude-sonnet-4-6,json,crossing,crossing,0,true,9111,35,1436,false,,,,
scene-2,claude-sonnet-4-6,textmap2,blockage,line-intersection,0,false,6694,69,2350,false,,,,
